SiteID,Salinity_Final,TA_Raw,Salinity_lab_Silbiger,mV,Temp,date,TempInSitu,Notes
101,35.14,2264.802,34.8,-68,21.556,20191120,27.2,
102,,2264.258,34.83,-69.2,21.545,20191120,27.2,
103,34.18,2266.32,34.77,-68.9,21.513,20191120,27.2,
104,35.31,2262.575,34.81,-65.1,21.528,20191120,26.8,
105,35.25,2266.557,34.82,-69.2,21.563,20191120,27,
106,,2290.244,34.31,-63.7,22.55,20190910,26.9,
107,34.89,2279.754,34.25,-66.5,22.59,20190910,27.1,
108,35.08,2269.175,34.19,-65.8,22.603,20190910,27.3,
109,35.13,2283.147,34.31,-68.1,22.601,20190910,27.1,
110,35.12,2284.894,34.21,-68.1,22.528,20190910,27.2,
111,34.89,2279.891,34.31,-65.3,22.629,20190910,27.1,
112,35.1,2281.551,34.29,-66.8,22.635,20190910,27.2,
113,35.13,2284.707,34.22,-68.4,22.506,20190909,27.2,
114,35.16,2249.76,34.24,-68.2,22.508,20190909,27.2,
115,25.16,2253.67,34.18,-68.1,22.51,20190909,27.2,
116,35.14,2257.16,34.22,-67.2,22.51,20190909,27.3,
117,35.16,2257.835,34.29,-67.1,22.538,20190909,27.2,
118,35.14,2262.202,34.22,-67.8,22.577,20190909,27.1,
119,35,2256.859,34.2,-68,22.565,20190909,27.1,
120,35.16,2248.14,34.26,-65.5,22.576,20190909,27.3,
121,35.22,2259.245,34.21,-67.6,22.573,20190909,27.3,
122,35.16,2262.126,34.31,-68.3,22.588,20190909,27.2,
123,35.23,2260.712,34.19,-67.9,22.566,20190909,27.3,
124,35.2,2255.054,34.3,-67.6,22.559,20190909,27.2,
125,,2266.371,34.32,-67.9,22.58,20190909,27,
126,36.07,2256.741,34.32,-65.2,22.618,20190909,27.2,
127,35.27,2283.859,34.23,-65.3,22.668,20190909,27.2,
128,35.26,2263.092,34.24,-67.1,22.6722,20190909,27,
129,35.21,2252.448,34.24,-67.7,22.738,20190909,26.9,
130,35.65,2227.882,34.31,-66.3,22.83,20190909,27.3,
131,35.06,2251.951,34.17,-66.6,22.587,20190909,27.2,
132,35.15,2243.167,34.26,-63.1,22.53,20190909,27.2,
133,35.26,2256.581,34.28,-64.7,22.501,20190909,27.2,
134,35.24,2280.137,34.81,-68.2,21.897,20191118,27.2,
135,35.02,2276.267,34.29,-66.6,22.472,20190909,27.2,
136,35.17,2261.567,34.22,-65.8,22.501,20190909,27.2,
137,35.21,2274.123,34.79,-68.4,21.914,20191118,27.3,
138,35.14,2284.199,34.3,-68.2,22.646,20190910,27.2,
139,34.94,2280.627,34.24,-68.2,22.648,20190910,27.1,
140,35.2,2282.695,34.83,-69.1,21.927,20191118,27.2,
141,35.12,2284.614,34.83,-68.7,21.925,20191118,27.2,
142,35.14,2275.605,34.77,-68.7,21.915,20191118,27.2,
143,35.11,2277.028,34.8,-68.2,21.933,20191118,27.2,"bottle label crossed out and written in as 142, but assuming this was a mislabel."
144,35.18,2248.201,34.29,-66.1,22.54,20190909,27.2,
145,35.26,2275.945,34.81,-68.4,21.939,20191118,26.9,bottle label crossed out and written in as 145
146,,2257.231,34.2,-67.4,22.55,20190909,27.3,
147,35.2,2255.621,34.3,-67.7,22.537,20190909,27.1,
148,35.12,2256.672,34.24,-63.1,22.557,20190909,27.1,
149,35.08,2261.7,34.23,-53.9,22.492,20190909,27.1,
150,35.14,2267.092,34.31,-61.4,22.573,20190909,27.1,
151,35.14,2244.587,34.22,-63.3,22.603,20190909,27.2,
152,35.14,2249.015,34.31,-63.7,22.621,20190909,27.3,
153,35.13,2262.071,34.31,-64.4,22.62,20190909,27.2,
154,35.17,2241.861,34.3,-64.3,22.638,20190909,27.3,
155,35.09,2251.144,34.26,-63.2,22.668,20190909,27.1,
156,35.22,2255.756,34.23,-64.6,22.68,20190909,27.1,
157,35.22,2280.286,34.3,-64.6,22.632,20190910,27.2,
158,35.21,2277.428,34.31,-63,22.636,20190910,26.8,
159,35.3,2272.023,34.45,-61.5,22.677,20190909,27.7,
160,35.16,2256.944,34.3,-63.2,22.502,20190909,26.9,
161,35.25,2294.458,34.36,-60.8,22.692,20190910,27.1,
162,34.27,2392.94,34.29,-58.2,21.929,20191118,27.6,
163,34.96,2342.901,34.06,-59.6,22.682,20190910,26,
164,35,2287.312,34.26,-58.5,22.53,20190909,26.2,
165,35.02,2398.834,34.36,-60,22.514,20190909,27.5,
166,36.12,2328.048,34.24,-64.7,22.71,20190910,27.3,
167,35.44,2353.007,34.52,-61.2,22.724,20190910,27.6,
168,34.5,2182.598,34.29,-61.1,22.523,20190909,27.1,
169,35.13,2173.745,34.21,-61.7,22.52,20190909,27,
170,36.16,2220.921,34.35,-61.7,22.546,20190909,26.8,
171,,2246.282,34.21,-61.8,22.562,20190909,27.1,
172,35.16,2240.074,34.28,-60.4,22.577,20190909,26.9,
173,35.23,2232.072,34.2,-62.9,22.588,20190909,27.3,
174,34.95,2367.65,34.48,-60,22.611,20190909,28.2,
180,32.6,2412.798,31.04,-59.5,22.656,20190909,27.4,
181,35.49,2954.155,33.73,-56.6,22.689,20190909,28.7,cloudy
201,35.57,2267.24,34.9,-62,21.58,20191119,26.9,
202,28.44,2241.037,28.83,-55.6,21.615,20191119,25.6,
203,36.19,2283.216,34.93,-63.3,21.621,20191119,26.4,
204,34.89,2279.544,34.96,-67.5,21.609,20191119,26.8,
205,35.02,2279.716,34.41,-60.6,21.558,20191119,26.3,
206,35.69,2251.614,34.8,-67.6,21.569,20191119,27.2,
207,36.15,2269.56,34.95,-65.1,21.594,20191119,26.7,
208,34.87,2263.412,34.86,-66.3,21.597,20191119,27.1,
209,35.43,2256.641,34.82,-64.9,21.581,20191119,26.7,
210,35.54,2255.711,34.81,-64.2,21.573,20191119,27.1,
211,36.05,2263.077,34.79,-63.7,21.582,20191119,26.6,
212,36.16,2284.551,34.85,-66.3,21.603,20191119,26.8,
213,35.74,2264.119,34.8,-63.3,21.613,20191119,26.7,
214,36.14,2270.955,34.93,-63.3,21.602,20191119,26.9,
215,30.32,2233.273,29.98,-58.3,21.596,20191119,26.1,bottleneck headspace
216,34.45,2276.756,33.98,-62.5,22.605,20190910,27.4,headspace; leak? 
217,35.52,2254.233,34.75,-66.1,21.692,20191120,26.2,
218,35.63,2250.548,34.89,-68.4,21.715,20191120,27.4,
219,36.09,2266.951,34.8,-62.9,21.674,20191120,26.7,
220,34.65,2269.482,34.82,-65.7,21.674,20191120,26.7,
221,35.34,2272.287,34.47,-61.7,21.672,20191120,27,
222,35.6,2265.737,34.74,-62.7,21.693,20191120,27,
223,36.13,2273.587,34.82,-61.5,21.76,20191120,26.4,
224,33.66,2316.535,33.67,-59.9,21.774,20191120,26.3,
225,34.1,2322.288,34.12,-55.6,21.772,20191120,26.4,
226,36.13,2263.973,34.83,-63.2,21.741,20191120,26.8,
227,33.85,2291.966,33.72,-55.8,21.778,20191120,26.2,
228,33.56,2297.179,32.95,-56.2,22.573,20190910,26.9,headspace; leak?
229,35.6,2263.608,34.74,-61.3,21.861,20191120,26.9,
230,34.59,2345.309,33.95,-56.3,21.886,20191120,26.2,
231,36.13,2243.723,34.9,-60.2,21.886,20191120,26.6,
232,34.83,2265.453,34.78,-66.2,21.897,20191120,27,
233,35.63,2263.359,34.75,-63.8,21.852,20191120,26.5,
234,35.22,2339.045,33.88,-64.6,22.522,20190910,26.8,
235,36.05,2954.155,34.3,-58.3,22.673,20190909,26.9,
236,36.19,2284.082,34.34,-65.1,22.501,20190910,26.6,
237,32.48,2342.904,32.08,-55.6,22.52,20190910,26.3,
238,35.95,2311.66,34.24,-57.8,22.557,20190910,25.7,
239,36.13,2313.421,34.26,-59.4,22.45,20190910,25.7,
240,33.39,2399.304,32.61,-58.4,32.61,20190910,26.8,
241,31.04,2273.439,30.54,-52.1,22.564,20190910,26,
242,36.01,2315.619,34.26,-56.7,22.628,20190910,26.1,
243,34.89,2291.263,34.23,-54.8,22.673,20190910,26.6,
244,34.85,2258.736,34.26,-65.7,22.689,20190910,27.3,
245,34.74,2264.551,34.22,-63.4,22.611,20190910,27.2,
246,35.66,2262.549,34.26,-67.1,22.628,20190910,27.4,
247,36.18,2288.897,34.09,-56.9,22.002,20191006,26.1,
248,34.89,2279.972,34.89,-65,22.647,20191115,26.8,
249,35.6,2258.733,34.75,-64.4,22.657,20191115,27.3,
250,35.28,2342.033,34.48,-60.9,22.678,20191115,26.7,
251,36.13,2279.314,34.12,-62.3,21.971,20191006,26.4,
252,34.85,2269.155,34.05,-65.1,21.927,20191006,27.1,
253,33.24,2350.968,32.55,-58,21.916,20191006,26.3,
254,36.16,2288.628,34.02,-63.6,21.95,20191006,26.6,
255,36.14,2281.137,34.2,-60.2,20.002,20191006,25.7,
256,34.79,2322.393,34.09,-58.4,21.942,20191006,26.4,
257,34.75,2284.87,34.14,-60.6,21.846,20191006,26.8,
258,35.68,2332.585,33.72,-72.1,21.837,20191006,26.9,
259,34.86,2297.732,34.17,-67.9,21.909,20191006,26.7,
260,34.72,2262.736,34.14,-61.4,22.471,20191006,27.5,
261,34.92,2337.053,34.26,-64.8,22.414,20191006,27.1,
262,35.01,2384.701,33.54,-60.6,22.376,20191006,27.3,
263,21.87,3322.505,21.02,-61,22.304,20191006,27,
264,25.96,2279.496,24.39,-60.1,22.307,20191006,25.7,
265,28.07,2327.254,24.78,-58.8,22.366,20191006,26.1,
266,20.1,2174.76,22.39,-58.1,22.306,20191006,24.6,particulate at bottom
267,2.82,1826.746,2.794,-46.7,22.347,20191006,23.3,
268,34.14,2280.444,25.17,-63.2,22.36,20191006,27.4,
269,34.47,2317.729,25.22,-63.5,22.225,20191006,27.1,particulate at bottom
270,31.42,2754.794,30.22,-53,22.402,20191112,26.8,
271,35.94,2336.263,34.71,-58.5,22.263,20191112,25.7,
272,34.46,2273.65,34.68,-66.7,22.22,20191112,26.9,
273,34.55,2314.827,34.57,-53.7,22.226,20191112,26.3,
274,34.81,2284.653,34.85,-61.1,22.151,20191112,26.9,
275,34.54,2338.292,34.44,-60.9,22.159,20191112,26.7,
276,34.65,2253.11,34.63,-60.8,22.202,20191112,27.1,
277,4.39,3157.247,4.387,-55.6,22.2,20191112,24.5,
278,33.73,2321.678,32.72,-60,22.227,20191112,26.8,
104B,35.41,2257.714,34.9,-64.1,21.599,20191120,25.6,
108A,35.56,2268.665,34.16,-68.1,22.601,20190910,27.7,
112B,35.1,2265.381,34.93,-67.6,21.622,20191120,27,
117B,35.14,2260.324,34.88,-68.2,21.622,20191120,27.2,
120B,34.51,2253.075,34.76,-66.8,21.606,20191120,27.3,
123B,35.2,2256.516,34.74,-67.8,21.61,20191119,27.1,
132B,30.14,2255.022,34.84,-63.6,21.621,20191119,27,
133B,,2262.823,34.76,-66.7,21.614,20191119,27,
134B,35.24,2267.571,34.78,-69,21.607,20191119,27,
139B,34.48,2264.469,34.81,-69.3,21.608,20191119,26.9,
148B,35.57,2252.169,34.86,-64.9,21.644,20191119,27,
149B,35.23,2255.48,34.76,-65.9,21.645,20191119,26.9,
152B,35.08,2268.128,34.8,-69.3,21.625,20191119,27.2,
155B,35.44,2273.808,34.77,-66.9,21.911,20191118,27.1,
157B,,2254.902,34.8,-65.58,21.633,20191119,27.1,
158B,35.2,2263.334,34.81,-64.2,21.633,20191119,26.9,
159B,,2267.32,35.07,-65.7,21.756,20191119,27.5,
161B,35.29,2286.095,34.99,-61.5,21.909,20191118,26.9,
169B,35.15,2272.783,34.88,-65.6,21.917,20191118,27.1,
171B,,2256.872,34.85,-64.6,21.755,20191119,26.9,bottleneck headspace
172B,35.25,2221.131,34.88,-56,21.747,20191119,26.8,
173B,,2255.235,34.77,-62.5,21.68,20191119,27,
279,35.53,2258.424,34.69,-63.6,22.628,20191115,27.2,
